,Total unsigned flux,Mean gradient of total field,Mean current helicity (Bz contribution),Mean photospheric magnetic free energy,Fraction of Area with Shear > 45 deg,Total unsigned current helicity,Mean gradient of horizontal field,"Mean characteristic twist parameter, alpha",Mean angle of field from radial,Mean gradient of vertical field,Mean vertical current density,Total unsigned vertical current,Sum of the modulus of the net current per polarity,Total photospheric magnetic free energy density,Mean shear angle,Area of strong field pixels in the active region,Sum of flux near polarity inversion line,Absolute value of the net current helicity,target
279,0.3087292822780463,-2.2039698291810903,-0.06654626014731357,0.6877464276265746,-0.35850471985671994,-0.16503449275123078,-1.7473406284784696,-0.0308682246134034,-0.5804781037943662,-2.6178205904055933,-0.10392639809871922,-0.2341331655895576,-0.2459561747098512,0.438990041097881,-0.5469464044974689,-0.21558893134825127,-0.6675529998230548,-0.1813460744070812,0.0
280,-0.38801794050333,0.7765201939684097,-0.23798762439484555,-0.01969924291305275,0.7888655805332074,-0.27070257984349105,1.290842720607448,-0.26447436291783566,1.0085669430313124,0.5243601403212249,1.0618861233509624,-0.31683916985302546,-0.07061516986648465,-0.2363712469783418,0.6876952715078536,-0.35353040293260796,-0.5084223681608252,-0.22235456570991444,0.0
281,-0.40522236620563507,1.3421474726071105,0.0035450901345820086,0.1430229456419685,0.6703727867623823,-0.3046762951480264,1.781290701718306,0.0193877241557568,0.9177680697166073,1.0654991808015617,-0.07863531894682924,-0.35996500131043874,-0.5035257239066803,-0.245644823859164,0.5551839769360181,-0.32993049973284677,-0.29200470910019183,-0.4358454070278944,0.0
282,-0.23175279274981522,0.9547710555315053,0.24503945518089862,-0.2970177931886951,0.20602381628129704,-0.16853935626946623,0.7190886666606756,0.28651374121481354,0.42413824631811853,0.7609036118666389,0.5016223559334133,-0.14175755487952224,-0.5811772196984702,-0.17675260940879733,0.24769528160051565,-0.22338796771937358,0.0930914195224054,-0.47011249630384816,0.0
283,0.17368607721775955,-0.3968624503801581,-0.3559384904411633,1.4905138865391507,0.03833362156043715,-0.02250982722033288,-0.7232671372132697,-0.22882878480039198,-0.03892305482320891,-0.6997971987290411,-0.5551381251094606,-0.05949925543884473,-0.3239870616618318,0.5813192824143439,0.025848934203723847,0.24991705765410469,-0.8664662894008427,0.19887843944501463,0.0
284,0.3485784259823824,-0.5360871216941091,-0.24906934669780836,0.8552747567718285,-0.45883948236207467,0.10645000133061117,-1.0007872230814658,-0.1829604890360528,-0.5365682349588671,-0.7920421289061046,-1.1042506377518708,0.06377596086933505,-0.14998472556265768,0.5554197203799466,-0.47777920143585667,0.31660540199259046,-0.6914225945723889,0.14890553536524817,0.0
285,-0.5359177081593633,1.0616061530527288,0.17308048507149945,-1.0681293570487693,-1.1478358909351956,-0.7312341087987383,-0.2375199354740814,0.19917972104269158,-0.9831795262414673,0.6292477766646883,-1.1793711698431808,-0.7732666727250124,-0.5968749410121773,-0.50998764216045,-1.0769915827848109,-0.5892103208340904,-1.4807105276170518,-0.5528453103966161,0.0
286,0.06994240427676131,0.44692562234486316,0.5581450883564084,-0.4581849791135961,-0.28416542946218804,-0.029183429595072502,-0.00335148158906063,0.620162346256295,-0.2843779263372825,0.28914337250932265,0.5832907481935109,0.015165029822749415,0.31275981891200555,-0.08367739366225693,-0.42721754991648614,-0.027901168185936954,-0.0612652931899572,-0.006258412430087888,0.0
287,0.06464975127948475,0.504707467796923,0.5707371411358909,-0.43091352183939763,-0.3694460976705288,-0.02642754688873536,0.07046816484012061,0.6187567060039002,-0.33774331265063245,0.38841202833438615,0.4133226310905797,-0.00994793983297346,0.28851342236914923,-0.09269086677785952,-0.49936732230929626,-0.021028608095336514,0.007160878424800633,-0.005544154199001929,0.0
288,0.1389428138991676,-0.7239322222648498,0.12722536895767667,-0.9501720874903581,-1.2186056538160026,-0.2197735822336991,-1.3469909186579445,0.14028571509985427,-1.2572600054624599,-1.0636261872954282,0.04930519250700489,-0.15206764498353365,-0.43743303836938857,-0.19914174578022004,-1.2975596861825178,-0.1899998970023956,-0.7821270546198608,-0.5024020027681829,0.0
289,0.09134120919805264,0.5867995278773777,0.30245949708488223,-0.3640840097856355,-0.433619994493366,0.022924720489662005,0.19538702406874725,0.3254290905137117,-0.42206580413119343,0.5530013326858464,-1.8358521295894965,-0.016187391383833648,-0.28825270472450515,-0.08173876069094699,-0.5899806191333379,-0.01235681518474039,0.08672619425591689,-0.3727830128982709,0.0
290,0.16523277423103971,0.33424741685657716,0.32018398902071454,-0.41666568839211854,-0.6363070785335722,0.07253502296191369,-0.050359275305756214,0.3413976942111971,-0.6290509675504494,0.2626873392351904,-0.9566401007469333,0.0005547246742655587,-0.3864913985938808,-0.06839784885842828,-0.7724854567805074,-0.04769067366423769,0.04216961739049167,-0.3384136619813026,0.0
291,0.18534170462697203,0.1739587020070438,0.16738111272315942,-0.4682520212158709,-0.6145795197543772,0.1075653240718109,-0.11921698795373051,0.19097462758826614,-0.631252937374058,0.09216688878097422,-0.7759162863562615,0.04379360671021904,-0.5303986330036099,-0.05974527636593725,-0.7619754505658068,-0.05766395677006527,0.05649137424009294,-0.5527524882916953,0.0
292,0.2339818666931661,-0.32191196670389083,-0.31319479572374276,-0.4325632486689818,-0.8885795556448703,0.15583927637378514,-0.5146047639930486,-0.29608601872604906,-0.9039086125915392,-0.2565220689441689,-0.8643883792179857,-0.0102200380608885,-0.2096865569202727,-0.04195041999749456,-1.0406326423663865,-0.06093164671819221,0.19016110483636578,0.14692323278558225,0.0
293,-0.5454189706698381,1.85540319094844,-0.20489010299593435,-1.1806335218537214,-0.7214325498934905,-0.5611563880420952,1.1637475746326775,-0.34511733657720334,-0.150057767097127,1.4821621945201242,2.083738921699543,-0.5885765763012952,-0.30262878094094314,-0.5172485619922669,-0.6075919808985125,-0.37508848021749386,-1.0717448042451205,-0.3393686283827766,0.0
294,-0.28567341041824706,1.3260608914138405,-0.04076901591623216,-0.3216840171112036,0.26305865807668427,-0.1780625488319955,1.4889718659763351,-0.06699384213779691,0.6527545250634171,1.1766301288321348,1.6190309968555041,-0.1492178709060463,-0.3929124623666528,-0.22070908191183822,0.289025170904272,-0.018707805718468064,-0.3238308354326372,-0.35416038144152123,0.0
